field_prime_e1,field_prime_e2,trace_e1,trace_e2,cm_fundamental_discriminant,cm_conductor,embedding_degree_e1,embedding_degree_e2,rho_max,status,first_rejecting_condition
226511,226777,-265,267,-835819,1,11,>12,1.000095182050,e1_only,k2_not_in_3_12
234361,235199,-837,839,-379,25,>12,3,1.000288670683,e2_only,k1_not_in_3_12
236021,236111,-89,91,-936163,1,10,>12,1.000030816303,e1_only,k2_not_in_3_12
239611,240101,-489,491,-719323,1,4,6,1.000164925382,hit,none
241441,242171,-729,731,-434323,1,10,>12,1.000243574206,e1_only,k2_not_in_3_12
241771,241867,-95,97,-106451,3,>12,5,1.000032026401,e2_only,k1_not_in_3_12
245389,245411,-21,23,-981115,1,10,>12,1.000007223628,e1_only,k2_not_in_3_12
245521,246017,-495,497,-737059,1,4,6,1.000162608456,hit,none
247889,248821,-931,933,-124795,1,5,>12,1.000302131614,e1_only,k2_not_in_3_12
251323,252169,-845,847,-32363,3,7,>12,1.000270258939,e1_only,k2_not_in_3_12
251527,252457,-929,931,-143067,1,>12,11,1.000296783823,e2_only,k1_not_in_3_12
252877,253247,-369,371,-875347,1,>12,12,1.000117525335,e2_only,k1_not_in_3_12
253823,253969,-145,147,-994267,1,12,>12,1.000046208653,e1_only,k2_not_in_3_12
256889,257591,-701,703,-536155,1,10,>12,1.000219081829,e1_only,k2_not_in_3_12
258233,258787,-553,555,-727123,1,11,>12,1.000171972167,e1_only,k2_not_in_3_12
260489,261241,-751,753,-477955,1,8,>12,1.000231166486,e1_only,k2_not_in_3_12
260609,260753,-143,145,-1021987,1,8,>12,1.000044295502,e1_only,k2_not_in_3_12
